sequencial;latitude;longitude;uf;cnl;facilidade;id_facilidade;provedor;id_provedor;entrega;abordado;custo_de_acesso_proprio;instalacao_terceiros;mensalidade_terceiros;tipo_terceiros;id_da_sev;prazo;bb_ip;hp_bsod;codigo_spe;sinalizacao_sip;protocolo_gaia;obs;justificativa;ID Justificativa;status
7815130;-7,23040084;-39,3855566;CE;CTO;TERCEIROS ETH;26;VTAL - CE;447;FLA PV;NAO;;9913,716982;1721,242625;3;962624;;78532;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7815145;-7,23040084;-39,3855566;CE;CTO;TERCEIROS ETH;26;VTAL - CE;447;FLA PV;NAO;;9913,716982;2497,719497;3;962630;;78533;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7815146;-7,23040084;-39,3855566;CE;CTO;TERCEIROS ETH;26;VTAL - CE;447;FLA PV;NAO;;9913,716982;2497,719497;3;962631;;78534;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7815147;-7,23040084;-39,3855566;CE;CTO;TERCEIROS ETH;26;VTAL - CE;447;FLA PV;NAO;;9913,716982;4050,673239;3;962632;;78535;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7815148;-7,23040084;-39,3855566;CE;CTO;TERCEIROS ETH;26;VTAL - CE;447;FLA PV;NAO;;9913,716982;4050,673239;3;962633;;78536;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7815153;-12,7896557;-38,4758544;BA;SDR;TERCEIROS ETH;26;VTAL - BA;446;SDR RC;NAO;;6504,158903;625,4441546;3;962636;;78537;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7815154;-12,7896557;-38,4758544;BA;SDR;TERCEIROS ETH;26;VTAL - BA;446;SDR RC;NAO;;6504,158903;850,5930647;3;962637;;78538;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7815155;-12,7896557;-38,4758544;BA;SDR;TERCEIROS ETH;26;VTAL - BA;446;SDR RC;NAO;;6504,158903;1301,201055;3;962638;;78539;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7815353;-25,5497018;-54,585856;PR;FOZ;TERCEIROS ETH;26;VTAL - PR;459;CTA MR;NAO;;10404,47867;1214,213798;3;962744;;78540;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7815357;-5,20221104;-39,2840603;CE;QXM;TERCEIROS ETH;26;VTAL - CE;447;FLA PV;NAO;;10506,53229;676,1444096;3;962746;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7815362;-25,4834999;-54,4925101;PR;FOZ;TERCEIROS ETH;26;VTAL - PR;459;CTA MR;NAO;;22297,01258;1214,213798;3;962748;;78541;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7815370;-3,77875453;-38,5405557;CE;FLA;FO EDD DIRETO CLARO;6;EMBRATEL;8;FLA PV;NAO;29746,78813;;;;962753;;;;;;0;ESTACAO CEAER01;;;1
7815388;-7,06319341;-34,8560637;PB;CBD;TERCEIROS ETH;26;VTAL - PB;455;JPA TR;NAO;;9913,716982;3948,028043;3;962762;;78543;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7815389;-7,06319341;-34,8560637;PB;CBD;TERCEIROS ETH;26;VTAL - PB;455;JPA TR;NAO;;9913,716982;3948,028043;3;962763;;78544;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7815408;-22,7232406;-43,7100828;RJ;SERP;TERCEIROS ETH;26;VTAL - RJ;460;RJO AM;NAO;;10168,7189;482,7858426;3;962774;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7815409;-22,7232406;-43,7100828;RJ;SERP;TERCEIROS ETH;26;VTAL - RJ;460;RJO AM;NAO;;10168,7189;482,7858426;3;962775;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
